source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
8-1257-a	title8.sections[1257].body[0]	203	(E)	usc:8:1101/a/E	incorrect-target	usc:8:1101/a/15/E [local]	The source lists paragraph (15)(A), (E), or (G) of §1101(a); the E occurrence is under paragraph (15), not directly under subsection (a).
8-1257-a	title8.sections[1257].body[0]	211	(G)	usc:8:1101/a/G	incorrect-target	usc:8:1101/a/15/G [local]	The source lists paragraph (15)(A), (E), or (G) of §1101(a); the G occurrence is under paragraph (15), not directly under subsection (a).
8-1257-b	title8.sections[1257].body[1]	537	(E)	usc:8:1101/a/E	incorrect-target	usc:8:1101/a/15/E [local]	The source lists paragraph (15)(A), (E), or (G) of §1101(a); the E occurrence is under paragraph (15), not directly under subsection (a).
8-1257-b	title8.sections[1257].body[1]	545	(G)	usc:8:1101/a/G	incorrect-target	usc:8:1101/a/15/G [local]	The source lists paragraph (15)(A), (E), or (G) of §1101(a); the G occurrence is under paragraph (15), not directly under subsection (a).
8-1356-s-5	title8.sections[1356].body[18/4]	366	(D)	usc:8:1154/a/D	incorrect-target	usc:8:1154/a/1/D [local]	The source says paragraph (1)(C) or (D) of §1154; D is nested under paragraph (1), not directly under subsection (a).
8-1612-a-2-C-iii	title8.sections[1612].body[0/1/2/2]	162	(i)	usc:38:1304/i	incorrect-target	usc:8:1612/a/2/C/iii/i [local]	The clause (i) occurrence is part of current §1612(a)(2)(C)(iii); the later section 1304 of title 38 citation must not capture it.
8-1612-a-2-C-iii	title8.sections[1612].body[0/1/2/2]	169	(ii)	usc:38:1304/ii	incorrect-target	usc:8:1612/a/2/C/iii/ii [local]	The clause (ii) occurrence is part of current §1612(a)(2)(C)(iii); the later section 1304 of title 38 citation must not capture it.
8-1612-b-2-C-iii	title8.sections[1612].body[1/1/2/2]	162	(i)	usc:38:1304/i	incorrect-target	usc:8:1612/b/2/C/iii/i [local]	The clause (i) occurrence is part of current §1612(b)(2)(C)(iii); the later section 1304 of title 38 citation must not capture it.
8-1612-b-2-C-iii	title8.sections[1612].body[1/1/2/2]	169	(ii)	usc:38:1304/ii	incorrect-target	usc:8:1612/b/2/C/iii/ii [local]	The clause (ii) occurrence is part of current §1612(b)(2)(C)(iii); the later section 1304 of title 38 citation must not capture it.
8-1613-b-2-C	title8.sections[1613].body[1/1/2]	167	(i)	usc:38:1304/i	incorrect-target	usc:8:1613/b/2/C/i [local]	The clause (i) occurrence is part of current §1613(b)(2)(C); the later section 1304 of title 38 citation must not capture it.
8-1613-b-2-C	title8.sections[1613].body[1/1/2]	174	(ii)	usc:38:1304/ii	incorrect-target	usc:8:1613/b/2/C/ii [local]	The clause (ii) occurrence is part of current §1613(b)(2)(C); the later section 1304 of title 38 citation must not capture it.
8-1622-b-3-C	title8.sections[1622].body[1/2/2]	167	(i)	usc:38:1304/i	incorrect-target	usc:8:1622/b/3/C/i [local]	The clause (i) occurrence is part of current §1622(b)(3)(C); the later section 1304 of title 38 citation must not capture it.
8-1622-b-3-C	title8.sections[1622].body[1/2/2]	174	(ii)	usc:38:1304/ii	incorrect-target	usc:8:1622/b/3/C/ii [local]	The clause (ii) occurrence is part of current §1622(b)(3)(C); the later section 1304 of title 38 citation must not capture it.
8-1160-c-2-B-ii-I	title8.sections[1160].body[2/1/1/1/0]	22	(2)(B)	UNLINKED (no target)	missing-link	usc:8:1182/a/2/B [local]	The paired phrase “Paragraphs (2)(A) and (2)(B) (relating to criminals)” identifies paragraphs (2)(A) and (2)(B) of §1182(a); this occurrence is not prose or a self-reference.
8-1254a-c-2-A-iii-I	title8.sections[1254a].body[2/1/0/2/0]	11	(2)(A)	UNLINKED (no target)	missing-link	usc:8:1182/a/2/A [local]	The run-in’s paired “paragraphs (2)(A) and (2)(B) (relating to criminals) of such section” is a citation to §1182(a)(2)(A), not ordinary prose.
8-1255a-d-2-B-ii-I	title8.sections[1255a].body[3/1/1/1/0]	22	(2)(B)	UNLINKED (no target)	missing-link	usc:8:1182/a/2/B [local]	The paired “Paragraphs (2)(A) and (2)(B) (relating to criminals)” is a citation to §1182(a)(2)(B), not ordinary prose.
8-1182-d-7	title8.sections[1182].body[3/6]	55	(7)	UNLINKED (no target)	missing-link	usc:8:1182/a/7 [local]	The text expressly says subsection (a), other than paragraph (7); this is paragraph (7) of §1182(a), not a prose numeral or self-reference.
