source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
8-1225-c-1	title8.sections[1225].body[2/0]	121	(A)	usc:8:1225/c/1/A	incorrect-target	usc:8:1182/a/3/A [local]	The sentence expressly identifies subparagraph (A) of section 1182(a)(3); the current §1225(c)(1)(A) target is inherited-container misresolution.
8-1225-c-2-B-i	title8.sections[1225].body[2/1/1/0]	104	(A)	usc:8:1225/c/2/A	incorrect-target	usc:8:1182/a/3/A [local]	The sentence expressly identifies subparagraph (A) of section 1182(a)(3), not subparagraph (A) of current §1225(c)(2)(B)(i).
8-1225-c-2-B-i	title8.sections[1225].body[2/1/1/0]	127	(ii)	usc:8:1225/c/2/B/ii	incorrect-target	usc:8:1182/a/3/A/ii [local]	The exception is clause (ii) under subparagraph (A) of section 1182(a)(3), not clause (ii) under current §1225(c)(2)(B).
8-1254a-c-2-A-iii-I	title8.sections[1254a].body[2/1/0/2/0]	22	(2)(B)	usc:8:1254a/c/2/B	incorrect-target	usc:8:1182/a/2/B [local]	The run-in says paragraph (2)(B) of section 1182(a), not paragraph (2)(B) of current §1254a(c)(2)(A)(iii).
8-1255a-d-2-B-ii-I	title8.sections[1255a].body[3/1/1/1/0]	11	(2)(A)	usc:8:1255a/d/2/A	incorrect-target	usc:8:1182/a/2/A [local]	The sentence says paragraph (2)(A) of section 1182(a), not paragraph (2)(A) of current §1255a(d)(2)(B)(ii).
8-1255a-d-2-B-ii-II	title8.sections[1255a].body[3/1/1/1/1]	10	(2)(C)	usc:8:1255a/d/2/C	incorrect-target	usc:8:1182/a/2/C [local]	The sentence says paragraph (2)(C) of section 1182(a), not paragraph (2)(C) of current §1255a(d)(2)(B)(ii).
8-102	title8.sections[102]	49	(a)(13)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/13 [official-source-only]	Repeal history expressly names §403(a)(13) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-105	title8.sections[105]	49	(a)(13)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/13 [official-source-only]	Repeal history expressly names §403(a)(13) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-108, 109	title8.sections[108, 109]	49	(a)(13)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/13 [official-source-only]	Repeal history expressly names §403(a)(13) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-110	title8.sections[110]	49	(a)(25)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/25 [official-source-only]	Repeal history expressly names §403(a)(25) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-113	title8.sections[113]	49	(a)(13)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/13 [official-source-only]	Repeal history expressly names §403(a)(13) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-115, 116	title8.sections[115, 116]	49	(a)(13)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/13 [official-source-only]	Repeal history expressly names §403(a)(13) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-132 to 137–10	title8.sections[132 to 137–10]	49	(a)(1)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/1 [official-source-only]	Repeal history expressly names §403(a)(1) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-132 to 137–10	title8.sections[132 to 137–10]	57	(8)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/8 [official-source-only]	Repeal history expressly names §403(a)(8) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-132 to 137–10	title8.sections[132 to 137–10]	62	(11)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/11 [official-source-only]	Repeal history expressly names §403(a)(11) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-132 to 137–10	title8.sections[132 to 137–10]	68	(13)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/13 [official-source-only]	Repeal history expressly names §403(a)(13) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-132 to 137–10	title8.sections[132 to 137–10]	74	(16)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/16 [official-source-only]	Repeal history expressly names §403(a)(16) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-132 to 137–10	title8.sections[132 to 137–10]	80	(48)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/48 [official-source-only]	Repeal history expressly names §403(a)(48) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-137b to 173	title8.sections[137b to 173]	49	(a)(2)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/2 [official-source-only]	Repeal history expressly names §403(a)(2) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-137b to 173	title8.sections[137b to 173]	57	(3)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/3 [official-source-only]	Repeal history expressly names §403(a)(3) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-137b to 173	title8.sections[137b to 173]	62	(5)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/5 [official-source-only]	Repeal history expressly names §403(a)(5) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-137b to 173	title8.sections[137b to 173]	67	(13)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/13 [official-source-only]	Repeal history expressly names §403(a)(13) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-137b to 173	title8.sections[137b to 173]	73	(18)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/18 [official-source-only]	Repeal history expressly names §403(a)(18) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-137b to 173	title8.sections[137b to 173]	79	(19)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/19 [official-source-only]	Repeal history expressly names §403(a)(19) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-137b to 173	title8.sections[137b to 173]	85	(23)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/23 [official-source-only]	Repeal history expressly names §403(a)(23) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-137b to 173	title8.sections[137b to 173]	91	(31)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/31 [official-source-only]	Repeal history expressly names §403(a)(31) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-137b to 173	title8.sections[137b to 173]	97	(32)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/32 [official-source-only]	Repeal history expressly names §403(a)(32) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-137b to 173	title8.sections[137b to 173]	103	(47)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/47 [official-source-only]	Repeal history expressly names §403(a)(47) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-175 to 181	title8.sections[175 to 181]	49	(a)(12)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/12 [official-source-only]	Repeal history expressly names §403(a)(12) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-175 to 181	title8.sections[175 to 181]	58	(13)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/13 [official-source-only]	Repeal history expressly names §403(a)(13) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-175 to 181	title8.sections[175 to 181]	64	(23)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/23 [official-source-only]	Repeal history expressly names §403(a)(23) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-175 to 181	title8.sections[175 to 181]	70	(30)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/30 [official-source-only]	Repeal history expressly names §403(a)(30) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-175 to 181	title8.sections[175 to 181]	76	(33)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/33 [official-source-only]	Repeal history expressly names §403(a)(33) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-201 to 204	title8.sections[201 to 204]	49	(a)(23)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/23 [official-source-only]	Repeal history expressly names §403(a)(23) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-201 to 204	title8.sections[201 to 204]	58	(24)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/24 [official-source-only]	Repeal history expressly names §403(a)(24) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-204c to 219	title8.sections[204c to 219]	49	(a)(23)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/23 [official-source-only]	Repeal history expressly names §403(a)(23) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-204c to 219	title8.sections[204c to 219]	58	(36)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/36 [official-source-only]	Repeal history expressly names §403(a)(36) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-204c to 219	title8.sections[204c to 219]	64	(44)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/44 [official-source-only]	Repeal history expressly names §403(a)(44) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-204c to 219	title8.sections[204c to 219]	70	(45)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/45 [official-source-only]	Repeal history expressly names §403(a)(45) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-221 to 227	title8.sections[221 to 227]	49	(a)(20)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/20 [official-source-only]	Repeal history expressly names §403(a)(20) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-221 to 227	title8.sections[221 to 227]	58	(22)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/22 [official-source-only]	Repeal history expressly names §403(a)(22) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-221 to 227	title8.sections[221 to 227]	64	(23)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/23 [official-source-only]	Repeal history expressly names §403(a)(23) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-221 to 227	title8.sections[221 to 227]	70	(29)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/29 [official-source-only]	Repeal history expressly names §403(a)(29) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-229 to 231	title8.sections[229 to 231]	49	(a)(17)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/17 [official-source-only]	Repeal history expressly names §403(a)(17) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-229 to 231	title8.sections[229 to 231]	58	(23)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/23 [official-source-only]	Repeal history expressly names §403(a)(23) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-229 to 231	title8.sections[229 to 231]	64	(27)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/27 [official-source-only]	Repeal history expressly names §403(a)(27) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-241 to 246	title8.sections[241 to 246]	49	(a)(28)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/28 [official-source-only]	Repeal history expressly names §403(a)(28) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-451 to 460	title8.sections[451 to 460]	49	(a)(39)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/39 [official-source-only]	Repeal history expressly names §403(a)(39) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-501 to 504	title8.sections[501 to 504]	49	(a)(42)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/42 [official-source-only]	Repeal history expressly names §403(a)(42) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-601 to 605	title8.sections[601 to 605]	49	(a)(42)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/42 [official-source-only]	Repeal history expressly names §403(a)(42) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-701 to 724a	title8.sections[701 to 724a]	49	(a)(40)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/40 [official-source-only]	Repeal history expressly names §403(a)(40) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-701 to 724a	title8.sections[701 to 724a]	58	(42)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/42 [official-source-only]	Repeal history expressly names §403(a)(42) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-725 to 727	title8.sections[725 to 727]	49	(a)(42)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/42 [official-source-only]	Repeal history expressly names §403(a)(42) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-728 to 746	title8.sections[728 to 746]	49	(a)(42)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/42 [official-source-only]	Repeal history expressly names §403(a)(42) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-728 to 746	title8.sections[728 to 746]	58	(46)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/46 [official-source-only]	Repeal history expressly names §403(a)(46) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-801 to 810	title8.sections[801 to 810]	49	(a)(42)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/42 [official-source-only]	Repeal history expressly names §403(a)(42) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-901 to 903	title8.sections[901 to 903]	49	(a)(42)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/42 [official-source-only]	Repeal history expressly names §403(a)(42) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-904 to 907	title8.sections[904 to 907]	49	(a)(42)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/42 [official-source-only]	Repeal history expressly names §403(a)(42) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-1001 to 1006	title8.sections[1001 to 1006]	49	(a)(42)	UNLINKED (no target)	missing-link	act:1952-06-27/ch477/title-IV/s403/a/42 [official-source-only]	Repeal history expressly names §403(a)(42) of the June 27, 1952 Act; this is a historical citation unit, not prose.
8-1102-1	title8.sections[1102].body[0]	280	(15)(A)(i)	UNLINKED (no target)	missing-link	usc:8:1101/a/15/A/i [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1101/a/15/A/i. It is not a run-in marker or ordinary prose.
8-1102-2	title8.sections[1102].body[1]	280	(15)(G)(i)	UNLINKED (no target)	missing-link	usc:8:1101/a/15/G/i [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1101/a/15/G/i. It is not a run-in marker or ordinary prose.
8-1153-b-5-H-ii-III	title8.sections[1153].body[1/4/7/1/2]	111	(I)	UNLINKED (no target)	missing-link	usc:8:1153/b/5/H/ii/I [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1153/b/5/H/ii/I. It is not a run-in marker or ordinary prose.
8-1153-b-5-H-ii-III	title8.sections[1153].body[1/4/7/1/2]	119	(II)	UNLINKED (no target)	missing-link	usc:8:1153/b/5/H/ii/II [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1153/b/5/H/ii/II. It is not a run-in marker or ordinary prose.
8-1153-c-1-A	title8.sections[1153].body[2/0/0]	404	(3)	UNLINKED (no target)	missing-link	usc:8:1151/a/3 [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1151/a/3. It is not a run-in marker or ordinary prose.
8-1153a-e-1-B	title8.sections[1153a].body[4/0/1]	109	(b)(5)	UNLINKED (no target)	missing-link	usc:8:1153/b/5 [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1153/b/5. It is not a run-in marker or ordinary prose.
8-1154-a-1-B-i-I	title8.sections[1154].body[0/0/1/0/0]	32	(II)	UNLINKED (no target)	missing-link	usc:8:1154/a/1/B/i/II [official-source-only]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1154/a/1/B/i/II. It is not a run-in marker or ordinary prose.
8-1154-i-1	title8.sections[1154].body[8/0]	28	(a)(4)(D)	UNLINKED (no target)	missing-link	usc:8:1154/a/4/D [official-source-only]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1154/a/4/D. It is not a run-in marker or ordinary prose.
8-1157-c-3	title8.sections[1157].body[2/2]	275	(2)(C)	UNLINKED (no target)	missing-link	usc:8:1182/a/2/C [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/2/C. It is not a run-in marker or ordinary prose.
8-1157-c-3	title8.sections[1157].body[2/2]	333	(3)	UNLINKED (no target)	missing-link	usc:8:1182/a/3 [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/3. It is not a run-in marker or ordinary prose.
8-1159-c	title8.sections[1159].body[2]	300	(2)(C)	UNLINKED (no target)	missing-link	usc:8:1182/a/2/C [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/2/C. It is not a run-in marker or ordinary prose.
8-1159-c	title8.sections[1159].body[2]	323	(A)	UNLINKED (no target)	missing-link	usc:8:1182/a/3/A [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/3/A. It is not a run-in marker or ordinary prose.
8-1159-c	title8.sections[1159].body[2]	328	(B)	UNLINKED (no target)	missing-link	usc:8:1182/a/3/B [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/3/B. It is not a run-in marker or ordinary prose.
8-1159-c	title8.sections[1159].body[2]	333	(C)	UNLINKED (no target)	missing-link	usc:8:1182/a/3/C [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/3/C. It is not a run-in marker or ordinary prose.
8-1159-c	title8.sections[1159].body[2]	341	(E)	UNLINKED (no target)	missing-link	usc:8:1182/a/3/E [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/3/E. It is not a run-in marker or ordinary prose.
8-1159-c	title8.sections[1159].body[2]	358	(3)	UNLINKED (no target)	missing-link	usc:8:1182/a/3 [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/3. It is not a run-in marker or ordinary prose.
8-1160-c-2-B-ii-I	title8.sections[1160].body[2/1/1/1/0]	22	(2)(B)	UNLINKED (no target)	missing-link	usc:8:1182/a/2/B [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/2/B. It is not a run-in marker or ordinary prose.
8-1160-c-2-B-ii-II	title8.sections[1160].body[2/1/1/1/1]	10	(4)	UNLINKED (no target)	missing-link	usc:8:1182/a/4 [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/4. It is not a run-in marker or ordinary prose.
8-1160-c-2-B-ii-IV	title8.sections[1160].body[2/1/1/1/3]	10	(3)	UNLINKED (no target)	missing-link	usc:8:1182/a/3 [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/3. It is not a run-in marker or ordinary prose.
8-1160-c-2-B-ii-IV	title8.sections[1160].body[2/1/1/1/3]	82	(E)	UNLINKED (no target)	missing-link	usc:8:1182/a/3/E [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/3/E. It is not a run-in marker or ordinary prose.
8-1160-d-3-B	title8.sections[1160].body[3/2/1]	237	(j)	UNLINKED (no target)	missing-link	cfr:8:210.1/j [official-source-only]	The text expressly cites 8 CFR §210.1(j); it is a valid external regulation citation even though the standalone corpus has no local CFR node for it.
8-1160-f	title8.sections[1160].body[5]	777	(1)	UNLINKED (no target)	missing-link	usc:8:1255a/h/3/1 [official-source-only]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1255a/h/3/1. It is not a run-in marker or ordinary prose.
8-1182-d-1	title8.sections[1182].body[3/0]	289	(3)(E)	UNLINKED (no target)	missing-link	usc:8:1182/a/3/E [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/3/E. It is not a run-in marker or ordinary prose.
8-1182-d-3-B-i	title8.sections[1182].body[3/2/1/0]	2003	(a)(2)(D)	UNLINKED (no target)	missing-link	usc:8:1252/a/2/D [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1252/a/2/D. It is not a run-in marker or ordinary prose.
8-1182-d-7	title8.sections[1182].body[3/6]	55	(7)	UNLINKED (no target)	missing-link	usc:8:1182/a/7 [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/7. It is not a run-in marker or ordinary prose.
8-1182-d-11	title8.sections[1182].body[3/9]	625	(4)	UNLINKED (no target)	missing-link	usc:8:1153/a/4 [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1153/a/4. It is not a run-in marker or ordinary prose.
8-1182-d-13-B-ii	title8.sections[1182].body[3/11/1/1]	60	(3)	UNLINKED (no target)	missing-link	usc:8:1182/a/3 [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/3. It is not a run-in marker or ordinary prose.
8-1182-d-13-B-ii	title8.sections[1182].body[3/11/1/1]	65	(4)	UNLINKED (no target)	missing-link	usc:8:1182/a/4 [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/4. It is not a run-in marker or ordinary prose.
8-1182-d-13-B-ii	title8.sections[1182].body[3/11/1/1]	70	(10)(C)	UNLINKED (no target)	missing-link	usc:8:1182/a/10/C [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/10/C. It is not a run-in marker or ordinary prose.
8-1182-d-13-B-ii	title8.sections[1182].body[3/11/1/1]	86	(E)	UNLINKED (no target)	missing-link	usc:8:1182/a/10/E [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/10/E. It is not a run-in marker or ordinary prose.
8-1182-d-14	title8.sections[1182].body[3/12]	318	(3)(E)	UNLINKED (no target)	missing-link	usc:8:1182/a/3/E [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/3/E. It is not a run-in marker or ordinary prose.
8-1182-h	title8.sections[1182].body[7]	21	(a)(2)(A)(i)(I)	UNLINKED (no target)	missing-link	usc:8:1182/a/2/A/i/I [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/2/A/i/I. It is not a run-in marker or ordinary prose.
8-1182-h	title8.sections[1182].body[7]	38	(II)	UNLINKED (no target)	missing-link	usc:8:1182/a/2/A/i/II [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/2/A/i/II. It is not a run-in marker or ordinary prose.
8-1182-h	title8.sections[1182].body[7]	44	(B)	UNLINKED (no target)	missing-link	usc:8:1182/a/2/B [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/2/B. It is not a run-in marker or ordinary prose.
8-1182-h	title8.sections[1182].body[7]	49	(D)	UNLINKED (no target)	missing-link	usc:8:1182/a/2/D [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/2/D. It is not a run-in marker or ordinary prose.
8-1182-h	title8.sections[1182].body[7]	58	(E)	UNLINKED (no target)	missing-link	usc:8:1182/a/2/E [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/a/2/E. It is not a run-in marker or ordinary prose.
8-1182-n-2-G-viii	title8.sections[1182].body[13/1/6/7]	34	(i)	UNLINKED (no target)	missing-link	usc:8:1182/n/2/G/i [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/n/2/G/i. It is not a run-in marker or ordinary prose.
8-1182-n-2-G-viii	title8.sections[1182].body[13/1/6/7]	41	(ii)	UNLINKED (no target)	missing-link	usc:8:1182/n/2/G/ii [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1182/n/2/G/ii. It is not a run-in marker or ordinary prose.
8-1182a to 1182c	title8.sections[1182a to 1182c]	38	(3)	UNLINKED (no target)	missing-link	public-law:87-301/s24/a/3 [official-source-only]	The repeal heading expressly names Pub. L. 87–301 §24(a)(3); this historical citation unit should have an official-source link.
8-1183a-a-3-A	title8.sections[1183a].body[0/2/0]	279	(B)	UNLINKED (no target)	missing-link	usc:8:1183a/a/3/B [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1183a/a/3/B. It is not a run-in marker or ordinary prose.
8-1183a-f-5-B	title8.sections[1183a].body[5/4/1]	327	(D)	UNLINKED (no target)	missing-link	usc:8:1183a/f/1/D [local]	Unlinked parenthetical citation unit; adjacent statutory wording identifies usc:8:1183a/f/1/D. It is not a run-in marker or ordinary prose.
