# INA 101 parenthetical-reference review manifest
# Manually target-reviewed 2026-08-23. Scope: every parenthetical sequence in the operative body of 8 U.S.C. 1101.
# The annotation row is deliberately non-navigable; every other row identifies one or more working legal-reference or run-in links.
# operative-text-sha256: 5689c34ef461a3d18f9081c59c0a322f2b1b177e59a424885efeeec103133f79
# counts: reference=203 run-in=41 annotation=1 total=245
source_path	start	sequence	disposition	links
a/15/E	1095	(iii)	run-in	1095:1100 (iii) -> RUN-IN a/15/E/iii
a/15/E	1472	(t)(1)	reference	1460:1492 "section 1182(t)(1) of this title" -> USC 8:1182/t/1 [local;house-uslm-ref]
a/15/F/i	303	(l)	reference	291:306 "section 1184(l)" -> USC 8:1184/l [local;context-bare-usc-section]
a/15/F/i	913	(ii)	run-in	913:917 (ii) -> RUN-IN a/15/F/ii
a/15/F/i	987	(i)	reference	987:990 "(i)" -> USC 8:1101/a/15/F/i [local;embedded-inferred-unit]
a/15/F/i	1047	(iii)	run-in	1047:1052 (iii) -> RUN-IN a/15/F/iii
a/15/F/i	1209	(i)	reference	1209:1212 "(i)" -> USC 8:1101/a/15/F/i [local;embedded-inferred-unit]
a/15/G/iii	31	(i)	reference	31:34 "(i)" -> USC 8:1101/a/15/G/i [local;embedded-inferred-unit]
a/15/G/iii	38	(ii)	reference	38:42 "(ii)" -> USC 8:1101/a/15/G/ii [local;embedded-inferred-unit]
a/15/H	9	(i)	run-in	9:12 (i) -> RUN-IN a/15/H/i
a/15/H	14	(a)	run-in	14:17 (a) -> RUN-IN a/15/H/i/a
a/15/H	47	(c)	reference	28:50 "Pub. L. 106–95, § 2(c)" -> PL 106-95/s2/c [official-source-only;house-uslm-ref]
a/15/H	83	(b)	run-in	83:86 (b) -> RUN-IN a/15/H/i/b
a/15/H	110	(j)(2)	reference	98:130 "section 1182(j)(2) of this title" -> USC 8:1182/j/2 [local;house-uslm-ref]
a/15/H	243	(a)	reference	243:246 "(a)" -> USC 8:1101/a/15/H/i/a [local;embedded-inferred-unit]
a/15/H	344	(ii)(a)	reference	344:351 "(ii)(a)" -> USC 8:1101/a/15/H/ii/a [local;embedded-inferred-unit]
a/15/H	371	(O)	reference	371:374 "(O)" -> USC 8:1101/a/15/O [local;embedded-inferred-unit]
a/15/H	378	(P)	reference	378:381 "(P)" -> USC 8:1101/a/15/P [local;embedded-inferred-unit]
a/15/H	434	(i)(1)	reference	422:454 "section 1184(i)(1) of this title" -> USC 8:1184/i/1 [local;house-uslm-ref]
a/15/H	549	(i)(2)	reference	537:569 "section 1184(i)(2) of this title" -> USC 8:1184/i/2 [local;house-uslm-ref]
a/15/H	832	(n)(1)	reference	820:852 "section 1182(n)(1) of this title" -> USC 8:1182/n/1 [local;house-uslm-ref]
a/15/H	857	(b1)	run-in	857:861 (b1) -> RUN-IN a/15/H/i/b1
a/15/H	984	(g)(8)(A)	reference	972:1007 "section 1184(g)(8)(A) of this title" -> USC 8:1184/g/8/A [local;house-uslm-ref]
a/15/H	1075	(i)(3)	reference	1063:1095 "section 1184(i)(3) of this title" -> USC 8:1184/i/3 [local;house-uslm-ref]
a/15/H	1334	(t)(1)	reference	1322:1354 "section 1182(t)(1) of this title" -> USC 8:1182/t/1 [local;house-uslm-ref]
a/15/H	1359	(c)	run-in	1359:1362 (c) -> RUN-IN a/15/H/i/c
a/15/H	1507	(m)(1)	reference	1495:1527 "section 1182(m)(1) of this title" -> USC 8:1182/m/1 [local;house-uslm-ref]
a/15/H	1699	(m)(2)	reference	1687:1719 "section 1182(m)(2) of this title" -> USC 8:1182/m/2 [local;house-uslm-ref]
a/15/H	1764	(m)(6)	reference	1752:1784 "section 1182(m)(6) of this title" -> USC 8:1182/m/6 [local;house-uslm-ref]
a/15/H	1836	(ii)(a)	run-in	1836:1840 (ii) -> RUN-IN a/15/H/ii || 1840:1843 (a) -> RUN-IN a/15/H/ii/a
a/15/H	2122	(g)	reference	2110:2137 "section 3121(g) of title 26" -> USC 26:3121/g [official-source-only;house-uslm-ref]
a/15/H	2176	(f)	reference	2165:2191 "section 203(f) of title 29" -> USC 29:203/f [official-source-only;house-uslm-ref]
a/15/H	2279	(b)	run-in	2279:2282 (b) -> RUN-IN a/15/H/ii/b
a/15/H	2706	(iii)	run-in	2706:2711 (iii) -> RUN-IN a/15/H/iii
a/15/J	774	(j)	reference	762:791 "section 1182(j) of this title" -> USC 8:1182/j [local;house-uslm-ref]
a/15/K	23	(d)	reference	23:26 "(d)" -> USC 8:1184/d [local;embedded-a-shared-trailing-container]
a/15/K	31	(p)	reference	31:34 "(p)" -> USC 8:1184/p [local;embedded-a-shared-trailing-container]
a/15/K/i	108	(a)(1)(A)(viii)(I)	reference	96:140 "section 1154(a)(1)(A)(viii)(I) of this title" -> USC 8:1154/a/1/A/viii/I [local;house-uslm-ref]
a/15/K/ii	114	(a)(1)(A)(viii)(I)	reference	102:146 "section 1154(a)(1)(A)(viii)(I) of this title" -> USC 8:1154/a/1/A/viii/I [local;house-uslm-ref]
a/15/K/ii	241	(b)(2)(A)(i)	reference	229:267 "section 1151(b)(2)(A)(i) of this title" -> USC 8:1151/b/2/A/i [local;house-uslm-ref]
a/15/K/iii	51	(i)	reference	51:54 "(i)" -> USC 8:1101/a/15/K/i [local;embedded-inferred-unit]
a/15/K/iii	58	(ii)	reference	58:62 "(ii)" -> USC 8:1101/a/15/K/ii [local;embedded-inferred-unit]
a/15/L	23	(c)(2)	reference	11:43 "section 1184(c)(2) of this title" -> USC 8:1184/c/2 [local;house-uslm-ref]
a/15/M/i	692	(ii)	run-in	692:696 (ii) -> RUN-IN a/15/M/ii
a/15/M/i	766	(i)	reference	766:769 "(i)" -> USC 8:1101/a/15/M/i [local;embedded-inferred-unit]
a/15/M/i	826	(iii)	run-in	826:831 (iii) -> RUN-IN a/15/M/iii
a/15/M/i	988	(i)	reference	988:991 "(i)" -> USC 8:1101/a/15/M/i [local;embedded-inferred-unit]
a/15/N/i	80	(27)(I)(i)	reference	80:90 "(27)(I)(i)" -> USC 8:1101/a/27/I/i [local;embedded-inferred-unit]
a/15/N/i	137	(27)(L)	reference	137:144 "(27)(L)" -> USC 8:1101/a/27/L [local;embedded-inferred-unit]
a/15/N/ii	94	(ii)	reference	94:98 "(ii)" -> USC 8:1101/a/27/I/ii [local;embedded-explicit-container]
a/15/N/ii	100	(iii)	reference	100:105 "(iii)" -> USC 8:1101/a/27/I/iii [local;embedded-explicit-container]
a/15/N/ii	110	(iv)	reference	110:114 "(iv)" -> USC 8:1101/a/27/I/iv [local;embedded-explicit-container]
a/15/N/ii	128	(27)(I)	reference	118:135 "paragraph (27)(I)" -> USC 8:1101/a/27/I [local;embedded-a-explicit-container-base]
a/15/N/ii	182	(27)(L)	reference	182:189 "(27)(L)" -> USC 8:1101/a/27/L [local;embedded-inferred-unit]
a/15/O/ii/I	183	(i)	reference	183:186 "(i)" -> USC 8:1101/a/15/O/i [local;embedded-inferred-unit]
a/15/O/ii/III/a	140	(b)	run-in	140:143 (b) -> RUN-IN a/15/O/ii/III/b
a/15/O/iii	61	(i)	reference	61:64 "(i)" -> USC 8:1101/a/15/O/i [local;embedded-inferred-unit]
a/15/O/iii	68	(ii)	reference	68:72 "(ii)" -> USC 8:1101/a/15/O/ii [local;embedded-inferred-unit]
a/15/P/i/a	28	(c)(4)(A)	reference	16:51 "section 1184(c)(4)(A) of this title" -> USC 8:1184/c/4/A [local;house-uslm-ref]
a/15/P/i/a	79	(b)	run-in	79:82 (b) -> RUN-IN a/15/P/i/b
a/15/P/i/a	111	(c)(4)(B)	reference	99:134 "section 1184(c)(4)(B) of this title" -> USC 8:1184/c/4/B [local;house-uslm-ref]
a/15/P/iv	55	(i)	reference	55:58 "(i)" -> USC 8:1101/a/15/P/i [local;embedded-inferred-unit]
a/15/P/iv	60	(ii)	reference	60:64 "(ii)" -> USC 8:1101/a/15/P/ii [local;embedded-inferred-unit]
a/15/P/iv	69	(iii)	reference	69:74 "(iii)" -> USC 8:1101/a/15/P/iii [local;embedded-inferred-unit]
a/15/R/ii	111	(I)	reference	111:114 "(I)" -> USC 8:1101/a/27/C/ii/I [local;embedded-explicit-container]
a/15/R/ii	116	(II)	reference	116:120 "(II)" -> USC 8:1101/a/27/C/ii/II [local;embedded-explicit-container]
a/15/R/ii	125	(III)	reference	125:130 "(III)" -> USC 8:1101/a/27/C/ii/III [local;embedded-explicit-container]
a/15/R/ii	144	(27)(C)(ii)	reference	134:155 "paragraph (27)(C)(ii)" -> USC 8:1101/a/27/C/ii [local;embedded-a-explicit-container-base]
a/15/S	23	(k)	reference	11:40 "section 1184(k) of this title" -> USC 8:1184/k [local;house-uslm-ref]
a/15/S	108	(ii)	reference	108:112 "(ii)" -> USC 8:1101/a/15/S/ii [local;embedded-inferred-unit]
a/15/S	301	(i)	reference	301:304 "(i)" -> USC 8:1101/a/15/S/i [local;embedded-inferred-unit]
a/15/S	308	(ii)	reference	308:312 "(ii)" -> USC 8:1101/a/15/S/ii [local;embedded-inferred-unit]
a/15/S/ii/IV	50	(a)	reference	38:65 "section 2708(a) of title 22" -> USC 22:2708/a [official-source-only;house-uslm-ref]
a/15/T/i	23	(o)	reference	11:26 "section 1184(o)" -> USC 8:1184/o [local;context-bare-usc-section]
a/15/T/i	119	(III)(aa)	reference	119:128 "(III)(aa)" -> USC 8:1101/a/15/T/i/III/aa [local;embedded-inferred-unit]
a/15/T/i/III/bb	115	(aa)	reference	115:119 "(aa)" -> USC 8:1101/a/15/T/i/III/aa [local;embedded-inferred-unit]
a/15/T/ii	69	(i)	reference	69:72 "(i)" -> USC 8:1101/a/15/T/i [local;embedded-inferred-unit]
a/15/T/ii/I	44	(i)	reference	44:47 "(i)" -> USC 8:1101/a/15/T/i [local;embedded-inferred-unit]
a/15/T/ii/II	44	(i)	reference	44:47 "(i)" -> USC 8:1101/a/15/T/i [local;embedded-inferred-unit]
a/15/T/ii/III	166	(I)	reference	166:169 "(I)" -> USC 8:1101/a/15/T/ii/I [local;embedded-inferred-unit]
a/15/T/ii/III	173	(II)	reference	173:177 "(II)" -> USC 8:1101/a/15/T/ii/II [local;embedded-inferred-unit]
a/15/U/i	23	(p)	reference	11:40 "section 1184(p) of this title" -> USC 8:1184/p [local;house-uslm-ref]
a/15/U/i/I	137	(iii)	reference	137:142 "(iii)" -> USC 8:1101/a/15/U/iii [local;embedded-inferred-unit]
a/15/U/i/II	187	(iii)	reference	187:192 "(iii)" -> USC 8:1101/a/15/U/iii [local;embedded-inferred-unit]
a/15/U/i/III	438	(iii)	reference	438:443 "(iii)" -> USC 8:1101/a/15/U/iii [local;embedded-inferred-unit]
a/15/U/i/IV	42	(iii)	reference	42:47 "(iii)" -> USC 8:1101/a/15/U/iii [local;embedded-inferred-unit]
a/15/U/ii	69	(i)	reference	69:72 "(i)" -> USC 8:1101/a/15/U/i [local;embedded-inferred-unit]
a/15/U/ii/I	44	(i)	reference	44:47 "(i)" -> USC 8:1101/a/15/U/i [local;embedded-inferred-unit]
a/15/U/ii/II	44	(i)	reference	44:47 "(i)" -> USC 8:1101/a/15/U/i [local;embedded-inferred-unit]
a/15/V	23	(q)	reference	11:40 "section 1184(q) of this title" -> USC 8:1184/q [local;house-uslm-ref]
a/15/V	165	(d)	reference	153:182 "section 1153(d) of this title" -> USC 8:1153/d [local;house-uslm-ref]
a/15/V	235	(a)(2)(A)	reference	223:258 "section 1153(a)(2)(A) of this title" -> USC 8:1153/a/2/A [local;house-uslm-ref]
a/15/V/ii/I	128	(a)(2)(A)	reference	116:151 "section 1153(a)(2)(A) of this title" -> USC 8:1153/a/2/A [local;house-uslm-ref]
a/19	284	(a)	reference	283:287 "3(a)" -> STAT 54:885/section-3/a [official-source-only;embedded-named-act-section]
a/19	398	(a)	reference	397:401 "4(a)" -> STAT 62:604/section-4/a [official-source-only;embedded-named-act-section]
a/19	494	(a)	reference	480:497 "50 U.S.C. 3803(a)" -> USC 50:3803/a [official-source-only;house-uslm-ref]
a/22	47	(A)	run-in	47:50 (A) -> RUN-IN a/22/A
a/22	86	(B)	run-in	86:89 (B) -> RUN-IN a/22/B
a/24	43	(m)(1)	reference	10:49 "Pub. L. 102–232, title III, § 305(m)(1)" -> PL 102-232/tIII/s305/m/1 [official-source-only;house-uslm-ref]
a/27/B	79	(a)	reference	67:82 "section 1435(a)" -> USC 8:1435/a [local;context-bare-usc-section]
a/27/C/ii/III	221	(c)(3)	reference	210:239 "section 501(c)(3) of title 26" -> USC 26:501/c/3 [official-source-only;house-uslm-ref]
a/27/C/iii	133	(i)	reference	133:136 "(i)" -> USC 8:1101/a/27/C/i [local;embedded-inferred-unit]
a/27/E	226	(a)(1)	reference	214:244 "section 3602(a)(1) of title 22" -> USC 22:3602/a/1 [official-source-only;house-uslm-ref]
a/27/F	89	(i)	run-in	89:92 (i) -> RUN-IN a/27/F/i
a/27/F	336	(ii)	run-in	336:340 (ii) -> RUN-IN a/27/F/ii
a/27/H/iii	61	(a)(15)(H)	reference	61:71 "(a)(15)(H)" -> USC 8:1101/a/15/H [local;embedded-inferred-unit]
a/27/H/iii	75	(a)(15)(J)	reference	75:85 "(a)(15)(J)" -> USC 8:1101/a/15/J [local;embedded-inferred-unit]
a/27/I/i	169	(15)(G)(i)	reference	169:179 "(15)(G)(i)" -> USC 8:1101/a/15/G/i [local;embedded-inferred-unit]
a/27/I/i	189	(I)	run-in	189:192 (I) -> RUN-IN a/27/I/i/I
a/27/I/i	256	(15)(G)(iv)	reference	256:267 "(15)(G)(iv)" -> USC 8:1101/a/15/G/iv [local;embedded-inferred-unit]
a/27/I/i	281	(15)(N)	reference	281:288 "(15)(N)" -> USC 8:1101/a/15/N [local;embedded-inferred-unit]
a/27/I/i	619	(II)	run-in	619:623 (II) -> RUN-IN a/27/I/i/II
a/27/I/ii	122	(I)	run-in	122:125 (I) -> RUN-IN a/27/I/ii/I
a/27/I/ii	189	(15)(G)(iv)	reference	189:200 "(15)(G)(iv)" -> USC 8:1101/a/15/G/iv [local;embedded-inferred-unit]
a/27/I/ii	214	(15)(N)	reference	214:221 "(15)(N)" -> USC 8:1101/a/15/N [local;embedded-inferred-unit]
a/27/I/ii	568	(II)	run-in	568:572 (II) -> RUN-IN a/27/I/ii/II
a/27/I/iii	97	(I)	run-in	97:100 (I) -> RUN-IN a/27/I/iii/I
a/27/I/iii	164	(15)(G)(iv)	reference	164:175 "(15)(G)(iv)" -> USC 8:1101/a/15/G/iv [local;embedded-inferred-unit]
a/27/I/iii	562	(II)	run-in	562:566 (II) -> RUN-IN a/27/I/iii/II
a/27/I/iv	118	(iii)	reference	118:123 "(iii)" -> USC 8:1101/a/27/I/iii [local;embedded-inferred-unit]
a/27/L	46	(i)	reference	46:49 "(i)" -> USC 8:1101/a/27/I/i [local;embedded-explicit-container]
a/27/L	51	(ii)	reference	51:55 "(ii)" -> USC 8:1101/a/27/I/ii [local;embedded-explicit-container]
a/27/L	57	(iii)	reference	57:62 "(iii)" -> USC 8:1101/a/27/I/iii [local;embedded-explicit-container]
a/27/L	67	(iv)	reference	67:71 "(iv)" -> USC 8:1101/a/27/I/iv [local;embedded-explicit-container]
a/27/L	88	(I)	reference	75:91 "subparagraph (I)" -> USC 8:1101/a/27/I [local;embedded-a-explicit-container-base]
a/27/L/i	56	(15)(G)(i)	reference	56:66 "(15)(G)(i)" -> USC 8:1101/a/15/G/i [local;embedded-inferred-unit]
a/27/L/i	137	(NATO)	annotation	Parenthetical abbreviation; intentionally not linked.
a/27/L/ii	34	(15)(G)(iv)	reference	34:45 "(15)(G)(iv)" -> USC 8:1101/a/15/G/iv [local;embedded-inferred-unit]
a/27/M	52	(b)(4)	reference	40:72 "section 1153(b)(4) of this title" -> USC 8:1153/b/4 [local;house-uslm-ref]
a/37	303	(A)	run-in	303:306 (A) -> RUN-IN a/37/A
a/37	587	(B)	run-in	587:590 (B) -> RUN-IN a/37/B
a/42	25	(A)	run-in	25:28 (A) -> RUN-IN a/42/A
a/42	521	(B)	run-in	521:524 (B) -> RUN-IN a/42/B
a/42	630	(e)	reference	618:647 "section 1157(e) of this title" -> USC 8:1157/e [local;house-uslm-ref]
a/43/B	148	(c)	reference	137:163 "section 924(c) of title 18" -> USC 18:924/c [official-source-only;house-uslm-ref]
a/43/C	147	(c)	reference	144:150 "841(c)" -> USC 18:841/c [official-source-only;embedded-numbered-section-list]
a/43/E/i	11	(h)	reference	0:14 "section 842(h)" -> USC 18:842/h [official-source-only;context-bare-trailing-title-section]
a/43/E/i	18	(i)	reference	18:21 "(i)" -> USC 18:842/i [official-source-only;embedded-numbered-section-list]
a/43/E/i	49	(d)	reference	46:52 "844(d)" -> USC 18:844/d [official-source-only;embedded-numbered-section-list]
a/43/E/i	54	(e)	reference	54:57 "(e)" -> USC 18:844/e [official-source-only;embedded-numbered-section-list]
a/43/E/i	59	(f)	reference	59:62 "(f)" -> USC 18:844/f [official-source-only;embedded-numbered-section-list]
a/43/E/i	64	(g)	reference	64:67 "(g)" -> USC 18:844/g [official-source-only;embedded-numbered-section-list]
a/43/E/i	69	(h)	reference	69:72 "(h)" -> USC 18:844/h [official-source-only;embedded-numbered-section-list]
a/43/E/i	77	(i)	reference	77:80 "(i)" -> USC 18:844/i [official-source-only;embedded-numbered-section-list]
a/43/E/ii	11	(g)(1)	reference	0:17 "section 922(g)(1)" -> USC 18:922/g/1 [official-source-only;context-bare-trailing-title-section]
a/43/E/ii	19	(2)	reference	19:22 "(2)" -> USC 18:922/g/2 [official-source-only;embedded-numbered-section-list]
a/43/E/ii	24	(3)	reference	24:27 "(3)" -> USC 18:922/g/3 [official-source-only;embedded-numbered-section-list]
a/43/E/ii	29	(4)	reference	29:32 "(4)" -> USC 18:922/g/4 [official-source-only;embedded-numbered-section-list]
a/43/E/ii	37	(5)	reference	37:40 "(5)" -> USC 18:922/g/5 [official-source-only;embedded-numbered-section-list]
a/43/E/ii	42	(j)	reference	42:45 "(j)" -> USC 18:922/j [official-source-only;embedded-numbered-section-list]
a/43/E/ii	47	(n)	reference	47:50 "(n)" -> USC 18:922/n [official-source-only;embedded-numbered-section-list]
a/43/E/ii	52	(o)	reference	52:55 "(o)" -> USC 18:922/o [official-source-only;embedded-numbered-section-list]
a/43/E/ii	57	(p)	reference	57:60 "(p)" -> USC 18:922/p [official-source-only;embedded-numbered-section-list]
a/43/E/ii	65	(r)	reference	65:68 "(r)" -> USC 18:922/r [official-source-only;embedded-numbered-section-list]
a/43/E/ii	75	(b)	reference	72:78 "924(b)" -> USC 18:924/b [official-source-only;embedded-numbered-section-list]
a/43/E/ii	82	(h)	reference	82:85 "(h)" -> USC 18:924/h [official-source-only;embedded-numbered-section-list]
a/43/N	34	(1)(A)	reference	34:40 "(1)(A)" -> USC 8:1324/a/1/A [local;embedded-a-shared-trailing-container]
a/43/N	44	(2)	reference	44:47 "(2)" -> USC 8:1324/a/2 [local;embedded-a-shared-trailing-container]
a/43/N	63	(a)	reference	51:80 "section 1324(a) of this title" -> USC 8:1324/a [local;house-uslm-ref]
a/43/O	36	(a)	reference	24:39 "section 1325(a)" -> USC 8:1325/a [local;context-bare-usc-section]
a/43/P	11	(i)	run-in	11:14 (i) -> RUN-IN a/43/P/i
a/43/P	193	(a)	reference	189:196 "1546(a)" -> USC 18:1546/a [official-source-only;embedded-numbered-section-list]
a/43/P	244	(ii)	run-in	244:248 (ii) -> RUN-IN a/43/P/ii
a/45	56	(15)(E)	reference	56:63 "(15)(E)" -> USC 8:1101/a/15/E [local;embedded-inferred-unit]
a/46	67	(a)(15)(O)(i)	reference	67:80 "(a)(15)(O)(i)" -> USC 8:1101/a/15/O/i [local;embedded-inferred-unit]
a/47/B	39	(A)	reference	39:42 "(A)" -> USC 8:1101/a/47/A [local;embedded-inferred-unit]
a/50	91	(a)(1)(A)(iii)(II)(aa)(BB)	reference	79:117 "section 1154(a)(1)(A)(iii)(II)(aa)(BB)" -> USC 8:1154/a/1/A/iii/II/aa/BB [local;context-bare-usc-section]
a/50	123	(a)(1)(B)(ii)(II)(aa)(BB)	reference	119:148 "1154(a)(1)(B)(ii)(II)(aa)(BB)" -> USC 8:1154/a/1/B/ii/II/aa/BB [local;context-bare-usc-address]
a/50	158	(b)(2)(A)(i)(III)	reference	153:175 "1229b(b)(2)(A)(i)(III)" -> USC 8:1229b/b/2/A/i/III [local;context-bare-usc-address]
a/51/A	7	(iii)	reference	7:12 "(iii)" -> USC 8:1154/a/1/A/iii [local;embedded-a-shared-trailing-container]
a/51/A	14	(iv)	reference	14:18 "(iv)" -> USC 8:1154/a/1/A/iv [local;embedded-a-shared-trailing-container]
a/51/A	23	(vii)	reference	23:28 "(vii)" -> USC 8:1154/a/1/A/vii [local;embedded-a-shared-trailing-container]
a/51/A	44	(a)(1)(A)	reference	32:67 "section 1154(a)(1)(A) of this title" -> USC 8:1154/a/1/A [local;house-uslm-ref]
a/51/B	7	(ii)	reference	7:11 "(ii)" -> USC 8:1154/a/1/B/ii [local;embedded-a-shared-trailing-container]
a/51/B	15	(iii)	reference	15:20 "(iii)" -> USC 8:1154/a/1/B/iii [local;embedded-a-shared-trailing-container]
a/51/B	36	(a)(1)(B)	reference	24:59 "section 1154(a)(1)(B) of this title" -> USC 8:1154/a/1/B [local;house-uslm-ref]
a/51/C	13	(c)(4)(C)	reference	0:36 "section 1186a(c)(4)(C) of this title" -> USC 8:1186a/c/4/C [local;house-uslm-ref]
a/51/E	11	(d)(1)(B)	reference	8:20 "902(d)(1)(B)" -> PL 105-277/division-A/title-IX/section-902/d/1/B [official-source-only;embedded-named-act-section]
a/51/F	11	(d)(1)	reference	8:17 "202(d)(1)" -> PL 105-100/title-II/section-202/d/1 [official-source-only;embedded-named-act-section]
b/1/E/ii	41	(i)	reference	41:44 "(i)" -> USC 8:1101/b/1/E/i [local;embedded-inferred-unit]
b/1/E/ii	59	(I)	run-in	59:62 (I) -> RUN-IN b/1/E/ii/I
b/1/E/ii	115	(i)	reference	115:118 "(i)" -> USC 8:1101/b/1/E/i [local;embedded-inferred-unit]
b/1/E/ii	135	(F)(i)	reference	135:141 "(F)(i)" -> USC 8:1101/b/1/F/i [local;embedded-inferred-unit]
b/1/E/ii	143	(II)	run-in	143:147 (II) -> RUN-IN b/1/E/ii/II
b/1/E/ii	255	(III)	run-in	255:260 (III) -> RUN-IN b/1/E/ii/III
b/1/E/ii	294	(i)	reference	294:297 "(i)" -> USC 8:1101/b/1/E/i [local;embedded-inferred-unit]
b/1/F/i	150	(b)	reference	138:167 "section 1151(b) of this title" -> USC 8:1151/b [local;house-uslm-ref]
b/1/F/ii	42	(i)	reference	42:45 "(i)" -> USC 8:1101/b/1/F/i [local;embedded-inferred-unit]
b/1/F/ii	60	(I)	run-in	60:63 (I) -> RUN-IN b/1/F/ii/I
b/1/F/ii	116	(i)	reference	116:119 "(i)" -> USC 8:1101/b/1/F/i [local;embedded-inferred-unit]
b/1/F/ii	136	(E)(i)	reference	136:142 "(E)(i)" -> USC 8:1101/b/1/E/i [local;embedded-inferred-unit]
b/1/F/ii	144	(II)	run-in	144:148 (II) -> RUN-IN b/1/F/ii/II
b/1/F/ii	350	(III)	run-in	350:355 (III) -> RUN-IN b/1/F/ii/III
b/1/F/ii	389	(i)	reference	389:392 "(i)" -> USC 8:1101/b/1/F/i [local;embedded-inferred-unit]
b/1/F/ii	562	(b)	reference	550:579 "section 1151(b) of this title" -> USC 8:1151/b [local;house-uslm-ref]
b/1/G/i	162	(b)	reference	150:179 "section 1151(b) of this title" -> USC 8:1151/b [local;house-uslm-ref]
b/1/G/iii	43	(i)	reference	43:46 "(i)" -> USC 8:1101/b/1/G/i [local;embedded-inferred-unit]
b/1/G/iii	51	(ii)	reference	51:55 "(ii)" -> USC 8:1101/b/1/G/ii [local;embedded-inferred-unit]
b/1/G/iii/I	52	(i)	reference	52:55 "(i)" -> USC 8:1101/b/1/G/i [local;embedded-inferred-unit]
b/1/G/iii/I	70	(E)(i)	reference	70:76 "(E)(i)" -> USC 8:1101/b/1/E/i [local;embedded-inferred-unit]
b/1/G/iii/I	94	(F)(i)	reference	94:100 "(F)(i)" -> USC 8:1101/b/1/F/i [local;embedded-inferred-unit]
b/1/G/iii/II	170	(i)	reference	170:173 "(i)" -> USC 8:1101/b/1/G/i [local;embedded-inferred-unit]
b/1/G/iii/II	188	(E)(i)	reference	188:194 "(E)(i)" -> USC 8:1101/b/1/E/i [local;embedded-inferred-unit]
b/1/G/iii/II	212	(F)(i)	reference	212:218 "(F)(i)" -> USC 8:1101/b/1/F/i [local;embedded-inferred-unit]
b/1/G/iii/III	33	(i)	reference	33:36 "(i)" -> USC 8:1101/b/1/G/i [local;embedded-inferred-unit]
b/1/G/iii/III	207	(b)	reference	195:224 "section 1151(b) of this title" -> USC 8:1151/b [local;house-uslm-ref]
b/2	173	(1)	reference	173:176 "(1)" -> USC 8:1101/b/1 [local;embedded-this-container]
b/2	236	(1)(F)	reference	236:242 "(1)(F)" -> USC 8:1101/b/1/F [local;embedded-inferred-unit]
b/2	297	(1)(G)(i)	reference	297:306 "(1)(G)(i)" -> USC 8:1101/b/1/G/i [local;embedded-inferred-unit]
b/2	373	(1)(D)	reference	373:379 "(1)(D)" -> USC 8:1101/b/1/D [local;embedded-inferred-unit]
b/2	412	(1)(C)	reference	412:418 "(1)(C)" -> USC 8:1101/b/1/C [local;embedded-inferred-unit]
c/1	526	(E)(ii)	reference	526:533 "(E)(ii)" -> USC 8:1101/b/1/E/ii [local;embedded-explicit-container]
c/1	537	(F)(ii)	reference	537:544 "(F)(ii)" -> USC 8:1101/b/1/F/ii [local;embedded-explicit-container]
