source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
usc-1534-e-1-A-255-embedded-explicit-container-0	title8/1534/e/1/A:text	255	(c)	8 U.S.C. §106(c)	incorrect	50 U.S.C. §1806(c)	The text says section 106 of the Foreign Intelligence Surveillance Act and gives 50 U.S.C. §1806(c).
usc-1534-e-1-A-260-embedded-explicit-container-1	title8/1534/e/1/A:text	260	(e)	8 U.S.C. §106(e)	incorrect	50 U.S.C. §1806(e)	The text says section 106 of the Foreign Intelligence Surveillance Act and gives 50 U.S.C. §1806(e).
usc-1534-e-1-A-265-embedded-explicit-container-2	title8/1534/e/1/A:text	265	(f)	8 U.S.C. §106(f)	incorrect	50 U.S.C. §1806(f)	The text says section 106 of the Foreign Intelligence Surveillance Act and gives 50 U.S.C. §1806(f).
usc-1534-e-1-A-270-embedded-explicit-container-3	title8/1534/e/1/A:text	270	(g)	8 U.S.C. §106(g)	incorrect	50 U.S.C. §1806(g)	The text says section 106 of the Foreign Intelligence Surveillance Act and gives 50 U.S.C. §1806(g).
usc-1534-e-1-A-279-embedded-explicit-container-4	title8/1534/e/1/A:text	279	(h)	8 U.S.C. §106(h)	incorrect	50 U.S.C. §1806(h)	The text says section 106 of the Foreign Intelligence Surveillance Act and gives 50 U.S.C. §1806(h).
usc-1184-h-355-embedded-explicit-container-1	title8/1184/h:text	355	(c)	8 U.S.C. §1101(a)(15)(c)	incorrect	8 U.S.C. §1101(a)(15)(H)(i)(c)	The phrase is “(H)(i)(b) or (c), (L), or (V)”; the bare (c) continues H(i), not a sibling of H.
usc-1257-a-203-embedded-explicit-container-1	title8/1257/a:text	203	(E)	8 U.S.C. §1101(a)(E)	incorrect	8 U.S.C. §1101(a)(15)(E)	The text says paragraph (15)(A), (E), or (G); E continues the stated paragraph 15 chain.
usc-1257-a-211-embedded-explicit-container-2	title8/1257/a:text	211	(G)	8 U.S.C. §1101(a)(G)	incorrect	8 U.S.C. §1101(a)(15)(G)	The text says paragraph (15)(A), (E), or (G); G continues the stated paragraph 15 chain.
usc-1257-b-537-embedded-explicit-container-1	title8/1257/b:text	537	(E)	8 U.S.C. §1101(a)(E)	incorrect	8 U.S.C. §1101(a)(15)(E)	The text says paragraph (15)(A), (E), or (G); E continues the stated paragraph 15 chain.
usc-1257-b-545-embedded-explicit-container-2	title8/1257/b:text	545	(G)	8 U.S.C. §1101(a)(G)	incorrect	8 U.S.C. §1101(a)(15)(G)	The text says paragraph (15)(A), (E), or (G); G continues the stated paragraph 15 chain.
usc-1356-s-5-356-embedded-explicit-container-0	title8/1356/s/5:text	356	(1)(C)	8 U.S.C. §1154(1)(C)	incorrect	8 U.S.C. §1154(a)(1)(C)	The source editorial note says section 1154 should be 1154(a); the statutory hierarchy is paragraph (1)(C) under subsection (a).
usc-1356-s-5-366-embedded-explicit-container-1	title8/1356/s/5:text	366	(D)	8 U.S.C. §1154(D)	incorrect	8 U.S.C. §1154(a)(1)(D)	The source editorial note says section 1154 should be 1154(a); D is the sibling of C under paragraph (1), not a top-level section unit.
usc-1187-a-12-A-ii-II-123-embedded-numbered-section-list-1	title8/1187/a/12/A/ii/II:text	123	2	50 U.S.C. §2	incorrect	(no link)	The 2 is the House editorial footnote marker after section 4605(j), not a citation to 50 U.S.C. §2.
usc-1202-h-2-E-iii-77-embedded-numbered-section-list-1	title8/1202/h/2/E/iii:text	77	3	8 U.S.C. §3	incorrect	(no link)	The 3 is the House editorial footnote marker after section 1101(a)(15)(C)(iii), not a citation to 8 U.S.C. §3.
usc-1228-c-3-B-282-embedded-numbered-section-list-1	title8/1228/c/3/B:text	282	2	8 U.S.C. §2	incorrect	(no link)	The 2 is the House editorial footnote marker after section 1253(a), not a citation to 8 U.S.C. §2.
usc-1324b-k-2-147-embedded-numbered-section-list-1	title8/1324b/k/2:text	147	2	8 U.S.C. §2	incorrect	(no link)	The 2 is the House editorial footnote marker after section 1324a(j), not a citation to 8 U.S.C. §2.
usc-1375a-a-5-A-v-230-embedded-this-container-0	title8/1375a/a/5/A/v:text	230	(i)	8 U.S.C. §1375a(a)(5)(i)	incorrect	8 U.S.C. §1375a(a)(5)(A)(i)	“This paragraph” is paragraph (5), and the clauses cited are the clauses of subparagraph (A) immediately being described.
usc-1375a-a-5-A-v-242-embedded-this-container-1	title8/1375a/a/5/A/v:text	242	(iv)	8 U.S.C. §1375a(a)(5)(iv)	incorrect	8 U.S.C. §1375a(a)(5)(A)(iv)	“This paragraph” is paragraph (5), and the clauses cited are the clauses of subparagraph (A) immediately being described.
usc-1182-a-9-B-i-I-176-embedded-numbered-section-list-0	title8/1182/a/9/B/i/I:text	176	1254a(e)	8 U.S.C. §1254a(e)	incorrect	8 U.S.C. §1229c	The House editorial note says this citation should be section 1229c of this title.
usc-1231-e-1-107-embedded-numbered-section-list-0	title8/1231/e/1:text	107	1225(a)(1)	8 U.S.C. §1225(a)(1)	incorrect	8 U.S.C. §1225(b)(1)	The House editorial note says this citation should be 1225(b)(1).
usc-1356-r-2-231-embedded-numbered-section-list-0	title8/1356/r/2:text	231	1255(i)(3)(b)	8 U.S.C. §1255(i)(3)(b)	incorrect	8 U.S.C. §1255(i)(3)(B)	The House editorial note says section 1255(i)(3)(b) should be section 1255(i)(3)(B).
usc-1535-c-4-D-324-embedded-numbered-section-list-0	title8/1535/c/4/D:text	324	1534(c)(3)	8 U.S.C. §1534(c)(3)	incorrect	8 U.S.C. §1534(e)(3)	The House editorial note says section 1534(c)(3) should be section 1534(e)(3).
house-1255a-h-5-text-80-1	title8/1255a/h/5:text	80	Public Law 96–122	Pub. L. 96–122	incorrect	Pub. L. 96–422	The House editorial note says Public Law 96–122 should be Public Law 96–422.
house-1365b-b-2-text-84-1	title8/1365b/b/2:text	84	Public Law 106–205	Pub. L. 106–205	incorrect	Pub. L. 106–215	The House editorial note says Public Law 106–205 should be Public Law 106–215.
house-1612-a-2-F-ii-text-209-1	title8/1612/a/2/F/ii:text	209	7 U.S.C. §2012(r)	7 U.S.C. §2012(r)	incorrect	7 U.S.C. §2012(j)	The House editorial note says 2012(r) should be 2012(j).
